"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"260700",21952,"HY324033","07/01/2015 10:18:00 PM","036XX W 16TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1014,10,24,29,"01A",1152199,1891796,2015,"08/17/2015 03:03:40 PM",41.858954299,-87.716809329,"(41.858954299, -87.716809329)"
"260701",21953,"HY324513","07/02/2015 07:30:00 PM","132XX S GREENWOOD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false",533,5,9,54,"01A",1186022,1818065,2015,"08/17/2015 03:03:40 PM",41.655895809,-87.594980408,"(41.655895809, -87.594980408)"
"260702",21954,"HY325121","07/02/2015 09:06:00 PM","027XX S KARLOV AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1031,10,22,30,"01A",1149489,1885568,2015,"08/17/2015 03:03:40 PM",41.841916851,-87.726918365,"(41.841916851, -87.726918365)"
"260703",21955,"HY325525","07/03/2015 01:20:00 AM","091XX S ASHLAND AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2221,22,21,73,"01A",1167278,1844015,2015,"08/17/2015 03:03:40 PM",41.727527094,-87.662827263,"(41.727527094, -87.662827263)"
"260704",21956,"HY325478","07/03/2015 01:00:00 AM","048XX S JUSTINE ST","0110","HOMICIDE","FIRST DEGREE MURDER","PORCH","false","false",933,9,20,61,"01A",1166824,1872544,2015,"08/17/2015 03:03:40 PM",41.805824145,-87.663676702,"(41.805824145, -87.663676702)"
"260705",21957,"HY326221","07/03/2015 05:31:00 PM","043XX S CALUMET AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARK PROPERTY","false","false",215,2,3,38,"01A",1179158,1876261,2015,"08/17/2015 03:03:40 PM",41.815751294,-87.618327133,"(41.815751294, -87.618327133)"
"260706",21958,"HY327907","07/05/2015 01:19:00 AM","077XX S SOUTH SHORE DR","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false",421,4,7,43,"01A",1197240,1854764,2015,"08/17/2015 03:03:40 PM",41.756330319,-87.552716204,"(41.756330319, -87.552716204)"
"260707",21959,"HY328200","07/05/2015 07:00:00 AM","088XX S BISHOP ST","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","true","false",2222,22,21,71,"01A",1168214,1846076,2015,"08/17/2015 03:03:40 PM",41.733162723,-87.659339424,"(41.733162723, -87.659339424)"
"260708",21960,"HY328200","07/05/2015 06:10:00 AM","088XX S BISHOP ST","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","true","false",2222,22,21,71,"01A",1168214,1846076,2015,"08/17/2015 03:03:40 PM",41.733162723,-87.659339424,"(41.733162723, -87.659339424)"
"260709",21961,"HY328047","07/05/2015 04:04:00 AM","044XX N KIMBALL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",1723,17,33,14,"01A",1152918,1929399,2015,"09/10/2015 11:41:00 AM",41.962126133,-87.713172111,"(41.962126133, -87.713172111)"
