,X,School_Boundary,School_ID,School_Name_Tag,Primary_Category,School_Type,Attendance_Boundaries,School_Longitude,School_Latitude,Totals_20th,ACT_Overall_Read,ACT_Overall_Math,ACT_Overall_Science,ACT_Overall_English,ACT_Overall_Composite,Bilingual_N,SpED_N,FreeReducedLunch_N,White_N,AfricanAmerican_N,PacificIslander_N,NativeAmerican_N,Hispanic_N,Multi_N,Asian_N,Hawaiian_N,SQRP_HS_Points,School_Longitude.1,School_Latitude.1,Crime_Count
121,31,38,609715,KELLY_HS_2015,HS,Neighborhood,Y,-87.694639,41.818729,2248,16.3,17.9,17.1,16.9,17,474,315,2125,43,69,0,3,1816,3,311,2,3.3,-87.694639,41.818729,1103
122,32,39,609735,TILDEN_HS_2015,HS,Neighborhood,Y,-87.642966,41.80751,311,14.5,15,14.6,13.2,14.3,15,122,298,37,178,0,0,81,9,5,0,2.2,-87.642966,41.80751,1325
123,33,40,609768,HOPE_HS_2015,HS,Neighborhood,Y,-87.641244,41.793553,199,14.8,15.2,15.5,14.2,14.9,11,61,196,3,180,0,0,16,0,0,0,2.3,-87.641244,41.793553,910
124,34,41,609682,RICHARDS_HS_2015,HS,Neighborhood,Y,-87.662278,41.802881,276,14.4,15.3,14.9,12.8,14.4,63,72,260,1,110,0,0,158,1,0,0,2.1,-87.662278,41.802881,551
125,35,43,609704,FARRAGUT_HS_2015,HS,Neighborhood,Y,-87.708706,41.84856,916,15.2,16.7,15.8,14.4,15.5,250,188,889,6,109,0,2,798,0,0,0,2.9,-87.708706,41.84856,1740
126,36,44,610383,SOCIAL_JUSTICE_HS_2015,HS,Small,Y,-87.735299,41.833507,309,15.3,15.9,17.1,14.7,15.7,64,56,299,0,34,0,1,273,1,0,0,3.5,-87.735299,41.833507,980
127,37,44,610384,INFINITY_HS_2015,HS,Small,Y,-87.735278,41.836169,419,17.5,19.9,19.8,18.1,18.8,43,49,411,2,13,0,1,402,1,0,0,4.3,-87.735278,41.836169,980
128,38,44,610385,MULTICULTURAL_HS_2015,HS,Small,Y,-87.735283,41.835282,272,15.3,15.3,17.3,14.9,15.7,76,68,262,3,37,0,2,230,0,0,0,3,-87.735283,41.835282,980
129,39,44,610392,WORLD_LANGUAGE_HS_2015,HS,Small,Y,-87.735292,41.834397,329,17,16.6,17.5,19.3,17.6,53,47,313,1,28,0,0,300,0,0,0,3.7,-87.735292,41.834397,980
130,40,45,609694,HANCOCK_HS_2015,HS,Neighborhood,Y,-87.72447,41.791464,905,17.2,16.3,17.4,16.4,16.8,56,78,843,18,11,0,5,861,3,7,0,3.6,-87.72447,41.791464,595
131,41,46,609709,GAGE_PARK_HS_2015,HS,Neighborhood,Y,-87.688954,41.791013,406,15.5,15.5,15.7,14.3,15.3,76,76,389,4,189,0,2,206,1,1,1,2.9,-87.688954,41.791013,1561
132,42,47,609741,HUBBARD_HS_2015,HS,Neighborhood,Y,-87.718014,41.780526,1705,17,17.1,17.3,16.9,17.1,243,220,1621,46,101,0,6,1542,6,4,0,3.6,-87.718014,41.780526,533
133,43,49,610543,SOLORIO_HS_2015,HS,Neighborhood,Y,-87.711059,41.795201,1111,17.5,19.2,18.2,17.5,18.1,141,116,1059,9,55,0,8,1038,1,0,0,4,-87.711059,41.795201,220
134,44,50,609674,CHICAGO_VOCATIONAL_HS_2015,HS,Career academy,Y,-87.573268,41.737174,978,14.6,15,15.6,14.1,14.8,9,254,914,0,956,0,2,15,4,0,0,3.4,-87.573268,41.737174,3007
135,45,51,609719,LAKE_VIEW_HS_2015,HS,Neighborhood,Y,-87.668953,41.954764,1289,18,17.8,18.3,17,17.8,60,189,1091,161,163,0,6,882,26,49,2,3.5,-87.668953,41.954764,1007
