,X,School_Boundary,School_ID,School_Name_Tag,Primary_Category,School_Type,Attendance_Boundaries,School_Longitude,School_Latitude,Totals_20th,ACT_Overall_Read,ACT_Overall_Math,ACT_Overall_Science,ACT_Overall_English,ACT_Overall_Composite,Bilingual_N,SpED_N,FreeReducedLunch_N,White_N,AfricanAmerican_N,PacificIslander_N,NativeAmerican_N,Hispanic_N,Multi_N,Asian_N,Hawaiian_N,SQRP_HS_Points,School_Longitude.1,School_Latitude.1,Crime_Count
28,28,33,609746,KENWOOD_HS_2013,HS,Neighborhood,Y,-87.590421,41.803772,1814,18.7,18.7,18.8,18.6,18.7,16,151,1313,27,1551,1,2,74,45,55,1,3.5,-87.590421,41.803772,432
29,29,34,609759,CLEMENTE_HS_2013,HS,Neighborhood,Y,-87.686906,41.902626,701,14.9,15.6,15.5,14.1,15,75,151,680,19,161,0,3,513,4,1,0,2.8,-87.686906,41.902626,1423
30,30,37,609762,JULIAN_HS_2013,HS,Neighborhood,Y,-87.653749,41.705859,1057,15.1,15.7,15.2,14.2,15,1,181,1014,1,1040,0,1,10,5,0,0,1.9,-87.653749,41.705859,517
31,31,38,609764,JUAREZ_HS_2013,HS,Neighborhood,Y,-87.663732,41.852667,1684,16.1,16.9,16.9,15.2,16.3,222,235,1625,18,41,0,9,1583,10,22,1,2.9,-87.663732,41.852667,627
32,32,39,609711,HARPER_HS_2013,HS,Neighborhood,Y,-87.669089,41.775124,482,14,15.2,14.4,12.8,14.1,1,115,473,1,468,0,0,11,1,0,0,1.7,-87.669089,41.775124,1474
33,33,40,609715,KELLY_HS_2013,HS,Neighborhood,Y,-87.694639,41.818729,2537,16.4,17.9,17,16.5,16.9,478,292,2364,53,45,0,10,2073,3,351,1,3,-87.694639,41.818729,1050
34,34,41,609735,TILDEN_HS_2013,HS,Neighborhood,Y,-87.642966,41.80751,345,14.5,15.7,14.9,13.4,14.6,9,89,337,27,232,0,0,72,5,6,0,2.2,-87.642966,41.80751,1465
35,35,42,609768,HOPE_HS_2013,HS,Neighborhood,Y,-87.641244,41.793553,391,14.7,15.6,15.2,12.8,14.6,9,87,386,1,373,0,0,15,1,1,0,1.8,-87.641244,41.793553,978
36,36,43,609682,RICHARDS_HS_2013,HS,Neighborhood,Y,-87.662278,41.802881,385,14.7,15.4,15.5,12.8,14.6,57,90,379,1,146,0,1,234,1,1,0,2,-87.662278,41.802881,603
37,37,45,609704,FARRAGUT_HS_2013,HS,Neighborhood,Y,-87.708706,41.84856,1100,15.3,17.1,16.1,13.9,15.6,273,218,1086,3,124,0,3,966,0,0,0,2.1,-87.708706,41.84856,1470
